stop_id_clean,canonical_stop_name,canonical_name_rows,stop_name_variant_count,total_named_rows,stop_name_examples
3749,Tompkins County,77,2,92,Tompkins County | TomCtyJail
5526,318 Pine Tree -,80,2,87,318 Pine Tree - | PinTre@EquesCtr
1311,Highland @ Thur,83,2,86,Highland @ Thur | Highlnd@Thurstn
1130,Lake St at Boyn,81,2,84,Lake St at Boyn | LakeSt@Boynton
3919,Rose Hill @ Tar,72,2,84,Rose Hill @ Tar | RoseH@Tarytn
1376,The Parkway @ U,70,2,83,The Parkway @ U | Parkway@Upland
2612,Trumansburg Rd,75,2,83,Trumansburg Rd | Tbrg Kinney
3316,Triphammer @ Pe,61,2,77,Triphammer @ Pe | Triphamr@Peruvi
726,Warren Pl @ Sun,68,2,77,Warren Pl @ Sun | WarrenPl@Snrise
768,Campbell @ Hect,64,2,77,Campbell @ Hect | Campbl@Hector
3314,Triphammer @ As,73,2,75,Triphammer @ As | Trphamr@Asbury
3937,Lab of Ornith,74,2,75,Lab of Ornith | Lab of Ornithol
4776,Dryden Central,59,2,74,Dryden Central | DrydenCntrlSchl
901,Cayuga @ Cascad,66,2,74,Cayuga @ Cascad | Cayug@Cascadill
4527,Dryden Rd @ Bak,65,2,72,Dryden Rd @ Bak | Dryden@BakerHil
4732,Dryden Harford,47,2,70,Dryden Harford | 38@BeamHill
4539,Main St @ Dryde,63,2,68,Main St @ Dryde | Rt 366 @ Rt 13
5541,Snyder Hill @ S,59,2,68,Snyder Hill @ S | SnydrHil@Sugarb
2568,Trumansburg Rd,61,2,66,Trumansburg Rd | Tbrg@Iradell
5546,Snyder Hill @ R,59,2,64,Snyder Hill @ R | SnydrHil@Rgncy
