source_month,event_time,ts,ts_event,ts_vhist,bus,tr_seq,route_clean,stop_id_clean,stop_name_raw_clean,text_clean,description_clean,media_text_clean,corrected_rider_num
02,2025-02-13 08:38:31,2025-02-13 08:38:31,2025-02-13 08:38:31,,2102,34.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:58:58,2025-02-13 08:58:58,2025-02-13 08:58:58,,2102,39.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:58:58,2025-02-13 08:58:58,2025-02-13 08:58:58,,2102,39.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:59:10,2025-02-13 08:59:10,2025-02-13 08:59:10,,2102,40.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:59:10,2025-02-13 08:59:10,2025-02-13 08:59:10,,2102,40.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:59:15,2025-02-13 08:59:15,2025-02-13 08:59:15,,2102,41.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:59:15,2025-02-13 08:59:15,2025-02-13 08:59:15,,2102,41.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:02:24,2025-02-13 09:02:24,2025-02-13 09:02:24,,2102,42.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:02:24,2025-02-13 09:02:24,2025-02-13 09:02:24,,2102,42.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:02:27,2025-02-13 09:02:27,2025-02-13 09:02:27,,2102,43.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:02:27,2025-02-13 09:02:27,2025-02-13 09:02:27,,2102,43.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:02:29,2025-02-13 09:02:29,2025-02-13 09:02:29,,2102,44.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:02:29,2025-02-13 09:02:29,2025-02-13 09:02:29,,2102,44.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:02:32,2025-02-13 09:02:32,2025-02-13 09:02:32,,2102,45.0,32,,,Special card,Cornell Card,Cornell,1
