Stop_Id_vhist,Stop_Name_vhist,boards,routes,cornell_card,cornell_override,cornell_card_share,cornell_any_observed_share
3711,PleasGrove@Hans,727,"30,37",228,39,0.31361760660247595,0.3672627235213205
665,Stat@Fulton,48,14,15,2,0.3125,0.3541666666666667
3735,10 Brentwood Dr,16,"32,37",5,0,0.3125,0.3125
4710,Rt13@George,13,43,4,0,0.3076923076923077,0.3076923076923077
6717,Elmira Rd @ Enf,13,67,4,0,0.3076923076923077,0.3076923076923077
504,Clinton @ Fayet,118,"15,67",36,1,0.3050847457627119,0.3135593220338983
4717,DrydnVil@PostOf,56,43,17,1,0.30357142857142855,0.32142857142857145
127,State@Plain,20,14,6,0,0.3,0.3
1376,Parkway@Upland,10,31,3,0,0.3,0.3
2330,EnfieldElemntry,17,20,5,0,0.29411764705882354,0.29411764705882354
3523,Sheraton@Tripha,17,32,5,1,0.29411764705882354,0.35294117647058826
2330,Enfield Element,151,20,44,3,0.2913907284768212,0.31125827814569534
3547,Cinema @ Sherat,55,32,16,1,0.2909090909090909,0.3090909090909091
5760,Caroline Town,128,52,37,0,0.2890625,0.2890625
3559,Warrenwood Apts,80,32,23,1,0.2875,0.3
551,Walmart South E,440,"14S,15",126,8,0.2863636363636364,0.30454545454545456
3526,Triphammer Mrlt,71,30,20,0,0.28169014084507044,0.28169014084507044
2671,Compass MHC,784,21,219,5,0.27933673469387754,0.2857142857142857
2620,Trumansburg Cen,18,21,5,0,0.2777777777777778,0.2777777777777778
4528,Dryden@BakerHil,18,"40,43",5,0,0.2777777777777778,0.2777777777777778
6519,WDanby@ShltrVal,29,67,8,0,0.27586206896551724,0.27586206896551724
2628,Main@Washington,109,21,30,1,0.27522935779816515,0.28440366972477066
663,State@Meadow,62,14,17,4,0.27419354838709675,0.3387096774193548
4362,Groton@Railroad,11,"40,43",3,0,0.2727272727272727,0.2727272727272727
4336,Groton Rd @ Per,15,"40,43",4,0,0.26666666666666666,0.26666666666666666
528,214Elmira-Reuse,15,15,4,0,0.26666666666666666,0.26666666666666666
110,Geneva @ State/,1290,15,341,26,0.26434108527131783,0.28449612403100777
6789,Elmira Rd @ Mai,462,67,122,2,0.26406926406926406,0.2683982683982684
2550,Trumansburg Rd ,147,21,38,1,0.2585034013605442,0.2653061224489796
3315,Triphammer @ Pe,35,"36,37",9,0,0.2571428571428571,0.2571428571428571
