route,boards,cornell_card,cornell_override,other_fare,blank_or_got_fare,unique_stops,cornell_card_share,cornell_override_share,cornell_any_observed_share,sample
36,45,6,8,18,13,2,0.13333333333333333,0.17777777777777778,0.3111111111111111,weekday_18_20
14S,23,1,0,16,6,0,0.043478260869565216,0.0,0.043478260869565216,weekday_18_20
20,20,7,0,7,6,1,0.35,0.0,0.35,weekday_18_20
30,418665,133724,42718,19576,222647,49,0.3194057301183524,0.10203384567613724,0.42143957579448965,weekend
11,67445,1627,600,30838,34380,34,0.024123359774631183,0.008896137593594781,0.03301949736822596,weekend
32,66628,21535,4485,3726,36882,81,0.32321246322867264,0.06731404214444378,0.3905265053731164,weekend
90,51564,18878,8013,1316,23357,28,0.36610813746024357,0.15539911566208983,0.5215072531223334,weekend
15,50622,12219,2510,8530,27363,30,0.2413772668009956,0.04958318517640552,0.2909604519774011,weekend
81,47700,0,2,0,47698,31,0.0,4.192872117400419e-05,4.192872117400419e-05,weekend
51,45433,13013,2684,2291,27445,64,0.28642176391609625,0.05907600202495983,0.3454977659410561,weekend
14,36950,1546,288,5732,29384,62,0.04184032476319351,0.007794316644113667,0.049634641407307174,weekend
10,36821,3,0,1,36817,13,8.14752451046957e-05,0.0,8.14752451046957e-05,weekend
92,35455,14398,5267,375,15415,21,0.4060922295868002,0.14855450571146525,0.5546467352982654,weekend
43,23287,1170,156,1679,20282,96,0.05024262464035728,0.006699016618714304,0.056941641259071585,weekend
17,18478,931,287,516,16744,18,0.0503842407186925,0.015531983980950318,0.06591622469964283,weekend
13,18266,249,1517,1006,15494,34,0.013631884375342166,0.08305047629475529,0.09668236067009744,weekend
82,17621,4,13,0,17604,27,0.00022700187276545033,0.0007377560864877135,0.0009647579592531639,weekend
21,11256,546,179,1712,8819,65,0.048507462686567165,0.015902629708599857,0.06441009239516703,weekend
31,10308,0,0,0,10308,53,0.0,0.0,0.0,weekend
67,8944,972,188,1109,6675,48,0.10867620751341682,0.02101967799642218,0.129695885509839,weekend
52,7802,864,207,615,6116,61,0.11074083568315816,0.026531658549089978,0.13727249423224813,weekend
14S,7678,103,9,928,6638,38,0.013414951810367283,0.0011721802552748112,0.014587132065642095,weekend
40,6028,704,98,577,4649,62,0.11678832116788321,0.01625746516257465,0.13304578633045785,weekend
37,5765,0,0,0,5765,68,0.0,0.0,0.0,weekend
77,4121,483,89,921,2628,66,0.11720456199951468,0.021596699830138316,0.138801261829653,weekend
20,3602,139,38,212,3213,48,0.03858967240421988,0.010549694614103275,0.04913936701832315,weekend
65,2170,0,0,0,2170,60,0.0,0.0,0.0,weekend
22,1844,0,0,0,1844,19,0.0,0.0,0.0,weekend
36,1721,0,0,0,1721,44,0.0,0.0,0.0,weekend
